G o. </w>	Va </w> ! </w>
I </w> have </w> to </w> go </w> home. </w>	Je </w> dois </w> me </w> rendre </w> chez </w> moi. </w>
I </w> have </w> your </w> diary. </w>	J'ai </w> ton </w> journal. </w>
I </w> have </w> your </w> diary. </w>	J'ai </w> votre </w> journal. </w>
I </w> have </w> your </w> diary. </w>	Je </w> suis </w> en </w> possession </w> de </w> ton </w> journal. </w>
I </w> haven't </w> decided. </w>	Je </w> n'ai </w> pas </w> décidé. </w>
I </w> haven't </w> started. </w>	Je </w> n'ai </w> pas </w> commencé. </w>
I </w> heard </w> screaming. </w>	J'ai </w> entendu </w> crier. </w>
I </w> heard </w> something. </w>	J'ai </w> entendu </w> quelque </w> chose. </w>
I </w> held </w> his </w> sleeve. </w>	Je </w> l'ai </w> tenu </w> par </w> la </w> manche. </w>
I </w> hit </w> rock </w> bottom. </w>	J'ai </w> touché </w> le </w> fond. </w>
I </w> hit </w> the </w> jack pot. </w>	J'ai </w> tiré </w> le </w> gros </w> lot. </w>
I </w> hope </w> he's </w> wrong. </w>	J'espère </w> qu'il </w> a </w> tort. </w>
I </w> hope </w> she's </w> safe. </w>	J'espère </w> qu'elle </w> est </w> saine </w> et </w> sauve. </w>
I </w> hope </w> she's </w> safe. </w>	J'espère </w> qu'elle </w> est </w> en </w> sécurité. </w>
I </w> hope </w> that </w> helps. </w>	J'espère </w> que </w> cela </w> aide. </w>
I </w> hope </w> this </w> works. </w>	J'espère </w> que </w> ça </w> fonctionne. </w>
I </w> hope </w> this </w> works. </w>	J'espère </w> que </w> ça </w> marche. </w>
I </w> hope </w> to </w> see </w> you. </w>	J'espère </w> vous </w> voir. </w>
I </w> hope </w> we </w> survive. </w>	J'espère </w> que </w> nous </w> survivr ons. </w>
I </w> itch </w> everywhere. </w>	Ça </w> me </w> gratte </w> de </w> partout. </w>
I </w> joined </w> the </w> navy. </w>	J'ai </w> rejoint </w> la </w> Marine. </w>
I </w> just </w> can't </w> wait. </w>	Je </w> suis </w> très </w> impatient. </w>
I </w> just </w> can't </w> wait. </w>	Je </w> suis </w> très </w> impatiente. </w>
I </w> just </w> can't </w> wait. </w>	J'ai </w> vraiment </w> hâte. </w>
I </w> just </w> dropped </w> in. </w>	Je </w> ne </w> fais </w> que </w> passer. </w>
I </w> just </w> feel </w> awful. </w>	Je </w> me </w> sens </w> juste </w> affreusement </w> mal. </w>
I </w> just </w> gave </w> blood. </w>	Je </w> viens </w> de </w> donner </w> mon </w> sang. </w>
I </w> just </w> got </w> bit ten. </w>	Je </w> viens </w> de </w> me </w> faire </w> mordre. </w>
I </w> just </w> got </w> tenure. </w>	Je </w> viens </w> d'en </w> obtenir </w> le </w> titre </w> de </w> propriété. </w>
I </w> just </w> got </w> tenure. </w>	Je </w> viens </w> d'être </w> tit ular isé. </w>
I </w> just </w> got </w> tenure. </w>	Je </w> viens </w> d'être </w> tit ular isée. </w>
I </w> just </w> ignore </w> Tom. </w>	J'ignore </w> simplement </w> Tom. </w>
I </w> just </w> moved </w> here. </w>	Je </w> viens </w> de </w> déménager </w> ici. </w>
I </w> just </w> need </w> a </w> hug. </w>	J'ai </w> juste </w> besoin </w> d'un </w> câlin. </w>
I </w> just </w> remembe red. </w>	Je </w> viens </w> de </w> me </w> le </w> rappeler. </w>
I </w> just </w> remembe red. </w>	Je </w> viens </w> de </w> m'en </w> souvenir. </w>
I </w> kept </w> on </w> reading. </w>	J'ai </w> continué </w> à </w> lire. </w>
I </w> kept </w> on </w> singing. </w>	J'ai </w> continué </w> à </w> chanter. </w>
I </w> kept </w> on </w> talking. </w>	J'ai </w> continué </w> à </w> parler. </w>
I </w> knew </w> who </w> did </w> it. </w>	Je </w> savais </w> qui </w> l'avait </w> fait. </w>
I </w> knew </w> who </w> he </w> was. </w>	Je </w> savais </w> qui </w> il </w> était. </w>
I </w> knew </w> you'd </w> come. </w>	Je </w> savais </w> que </w> tu </w> viendrais. </w>
I </w> know </w> a </w> shortcut. </w>	Je </w> connais </w> un </w> raccourci. </w>
I </w> know </w> about </w> that. </w>	Je </w> suis </w> au </w> courant </w> de </w> ça. </w>
I </w> know </w> everything. </w>	Je </w> sais </w> tout. </w>
I </w> know </w> he </w> is </w> busy. </w>	Je </w> sais </w> qu'il </w> est </w> occupé. </w>
I </w> know </w> his </w> family. </w>	Je </w> connais </w> sa </w> famille. </w>
I </w> know </w> how </w> to </w> fly. </w>	Je </w> sais </w> voler. </w>
I </w> know </w> how </w> to </w> ski. </w>	Je </w> sais </w> skier. </w>
I </w> know </w> how </w> to </w> win. </w>	Je </w> sais </w> comment </w> gagner. </w>
I </w> know </w> it </w> was </w> you. </w>	Je </w> sais </w> que </w> c'était </w> toi. </w>
I </w> know </w> it's </w> a </w> lie. </w>	Je </w> sais </w> que </w> c'est </w> un </w> mensonge. </w>
I </w> know </w> it's </w> a </w> lie. </w>	Je </w> sais </w> qu'il </w> s'agit </w> d'un </w> mensonge. </w>
I </w> know </w> that </w> story. </w>	Je </w> connais </w> cette </w> histoire. </w>
I </w> know </w> the </w> answer. </w>	Je </w> connais </w> la </w> réponse. </w>
I </w> know </w> what </w> I </w> did. </w>	Je </w> sais </w> ce </w> que </w> j'ai </w> fait. </w>
I </w> know </w> what </w> to </w> do. </w>	Je </w> sais </w> quoi </w> faire. </w>
I </w> know </w> who </w> did </w> it. </w>	Je </w> sais </w> qui </w> l'a </w> fait. </w>
I </w> know </w> who </w> it </w> was. </w>	Je </w> sais </w> qui </w> c'était. </w>
I </w> know </w> you </w> did </w> it. </w>	Je </w> sais </w> que </w> tu </w> l'as </w> fait. </w>
I </w> know </w> you </w> did </w> it. </w>	Je </w> sais </w> que </w> vous </w> l'avez </w> fait. </w>
I </w> lack </w> confidence. </w>	Je </w> manque </w> de </w> confiance. </w>
I </w> left </w> in </w> a </w> hurry. </w>	Je </w> suis </w> parti </w> à </w> la </w> hâte. </w>
I </w> left </w> you </w> a </w> note. </w>	Je </w> vous </w> laissai </w> une </w> note. </w>
I </w> left </w> you </w> a </w> note. </w>	Je </w> te </w> laissai </w> une </w> note. </w>
I </w> left </w> you </w> a </w> note. </w>	Je </w> vous </w> ai </w> laissé </w> une </w> note. </w>
I </w> left </w> you </w> a </w> note. </w>	Je </w> t'ai </w> laissé </w> une </w> note. </w>
I </w> let </w> the </w> dog </w> out. </w>	J'ai </w> laissé </w> sortir </w> le </w> chien. </w>
I </w> lied </w> about </w> that. </w>	J'ai </w> menti </w> à </w> ce </w> sujet. </w>
I </w> like </w> big </w> cities. </w>	J'aime </w> les </w> grandes </w> villes. </w>
I </w> like </w> challeng es. </w>	J'aime </w> les </w> déf is. </w>
I </w> like </w> coffee </w> hot. </w>	J'aime </w> le </w> café </w> brûlant. </w>
I </w> like </w> doing </w> this. </w>	J'aime </w> faire </w> ça. </w>
I </w> like </w> doing </w> this. </w>	J'aime </w> faire </w> ceci. </w>
I </w> like </w> folk </w> songs. </w>	J'aime </w> les </w> chansons </w> populaires. </w>
I </w> like </w> it </w> so </w> much. </w>	Je </w> l'aime </w> tant </w> ! </w>
I </w> like </w> loud </w> music. </w>	J'aime </w> la </w> musique </w> forte. </w>
I </w> like </w> rock </w> music. </w>	J'aime </w> le </w> rock. </w>
I </w> like </w> rock </w> music. </w>	J'aime </w> la </w> musique </w> rock. </w>
I </w> like </w> sau er kr au t. </w>	J'aime </w> la </w> chou crou te. </w>
I </w> like </w> short </w> hair. </w>	J'aime </w> les </w> cheveux </w> courts. </w>
I </w> like </w> that </w> shirt. </w>	J'aime </w> cette </w> chemise. </w>
I </w> like </w> that </w> skirt. </w>	J'aime </w> cette </w> jupe. </w>
I </w> like </w> the </w> colors. </w>	J'en </w> apprécie </w> les </w> couleurs. </w>
I </w> like </w> these </w> hats. </w>	J'aime </w> ces </w> chapeaux. </w>
I </w> like </w> these </w> hats. </w>	Ces </w> chape aux </w> me </w> plaisent. </w>
I </w> like </w> this </w> chair. </w>	J'aime </w> ce </w> siège. </w>
I </w> like </w> this </w> color. </w>	J'aime </w> cette </w> couleur. </w>
I </w> like </w> this </w> color. </w>	Cette </w> couleur -ci </w> me </w> plaît. </w>
I </w> like </w> this </w> model. </w>	J'aime </w> ce </w> mannequin. </w>
I </w> like </w> this </w> store. </w>	J'aime </w> ce </w> magasin. </w>
I </w> like </w> those </w> od ds. </w>	J'aime </w> ces </w> probabil ités. </w>
I </w> like </w> to </w> be </w> here. </w>	J'aime </w> être </w> ici. </w>
I </w> like </w> to </w> be </w> here. </w>	J'aime </w> me </w> trouver </w> ici. </w>
I </w> like </w> watermelon. </w>	J'aime </w> la </w> pastèque. </w>
I </w> like </w> what </w> I </w> see. </w>	J'aime </w> ce </w> que </w> je </w> vois. </w>
I </w> like </w> your </w> beard. </w>	J'aime </w> ta </w> barbe. </w>
I </w> like </w> your </w> beard. </w>	J'aime </w> votre </w> barbe. </w>
I </w> like </w> your </w> dress. </w>	J'aime </w> ta </w> robe. </w>
I </w> like </w> your </w> dress. </w>	J'aime </w> votre </w> robe. </w>
I </w> like </w> your </w> house. </w>	J'aime </w> votre </w> maison. </w>
I </w> like </w> your </w> place. </w>	J'aime </w> ton </w> appartement. </w>
I </w> like </w> your </w> place. </w>	J'aime </w> bien </w> chez </w> toi. </w>
I </w> like </w> your </w> place. </w>	J'aime </w> bien </w> chez </w> vous. </w>
I </w> like </w> your </w> place. </w>	J'aime </w> votre </w> appartement. </w>
I </w> like </w> your </w> scarf. </w>	J'aime </w> ton </w> échar pe. </w>
I </w> like </w> your </w> shoes. </w>	J'aime </w> vos </w> souli ers. </w>
I </w> like </w> your </w> shoes. </w>	J'aime </w> tes </w> souli ers. </w>
I </w> like </w> your </w> shoes. </w>	J'aime </w> vos </w> chaussures. </w>
I </w> like </w> your </w> shoes. </w>	J'aime </w> tes </w> chaussures. </w>
I </w> like </w> your </w> smile. </w>	J'aime </w> ton </w> sourire. </w>
I </w> like </w> your </w> smile. </w>	J'aime </w> votre </w> sourire. </w>
I </w> like </w> your </w> style. </w>	J'aime </w> ton </w> style. </w>
I </w> like </w> your </w> style. </w>	J'aime </w> votre </w> style. </w>
I </w> like </w> your </w> style. </w>	J'apprécie </w> votre </w> style. </w>
I </w> like </w> your </w> style. </w>	J'apprécie </w> ton </w> style. </w>
I </w> liked </w> that </w> book. </w>	J'ai </w> apprécié </w> ce </w> livre. </w>
I </w> liked </w> that </w> song. </w>	J'ai </w> aimé </w> cette </w> chanson. </w>
I </w> liked </w> this </w> book. </w>	J'ai </w> apprécié </w> ce </w> livre. </w>
I </w> liked </w> this </w> film. </w>	Ce </w> film </w> m'a </w> plu. </w>
I </w> lit </w> the </w> candles. </w>	J'ai </w> allumé </w> les </w> bougies. </w>
I </w> live </w> here </w> alone. </w>	Je </w> vis </w> seul </w> ici. </w>
I </w> live </w> here </w> alone. </w>	Je </w> vis </w> seule </w> ici. </w>
I </w> live </w> in </w> a </w> hotel. </w>	Je </w> vis </w> à </w> l'hôtel. </w>
I </w> live </w> in </w> comfort. </w>	Je </w> vis </w> confort ablement . </w>
I </w> locked </w> the </w> door. </w>	Je </w> verrouill ai </w> la </w> porte. </w>
I </w> locked </w> the </w> door. </w>	J'ai </w> verrouillé </w> la </w> porte. </w>
I </w> lost </w> an </w> earring. </w>	J'ai </w> perdu </w> une </w> boucle </w> d'oreille. </w>
I </w> lost </w> everything. </w>	J'ai </w> tout </w> perdu. </w>
I </w> lost </w> my </w> balance. </w>	J'ai </w> perdu </w> l'équili bre. </w>
I </w> lost </w> my </w> car </w> key. </w>	J'ai </w> perdu </w> les </w> clés </w> de </w> ma </w> voiture. </w>
I </w> lost </w> my </w> glasses. </w>	J'ai </w> perdu </w> mes </w> lunettes. </w>
I </w> love </w> California. </w>	J'aime </w> la </w> Californie. </w>
I </w> love </w> all </w> of </w> you. </w>	Je </w> vous </w> aime </w> tous. </w>
I </w> love </w> all </w> of </w> you. </w>	Je </w> vous </w> adore </w> tous. </w>
I </w> love </w> all </w> of </w> you. </w>	Je </w> vous </w> aime </w> toutes. </w>
I </w> love </w> all </w> of </w> you. </w>	Je </w> vous </w> adore </w> toutes. </w>
I </w> love </w> doing </w> this. </w>	J'adore </w> faire </w> ça. </w>
I </w> love </w> hamburgers. </w>	J'adore </w> les </w> hamburgers. </w>
I </w> love </w> music, </w> too. </w>	Moi </w> aussi, </w> j' adore </w> la </w> musique. </w>
I </w> love </w> my </w> country. </w>	J'aime </w> mon </w> pays. </w>
I </w> love </w> my </w> new </w> job. </w>	J'adore </w> mon </w> nouveau </w> boulot. </w>
I </w> love </w> my </w> parents. </w>	J'adore </w> mes </w> parents. </w>
I </w> love </w> perform ing. </w>	J'adore </w> jouer </w> en </w> public. </w>
I </w> love </w> that </w> chair. </w>	J'adore </w> cette </w> chaise. </w>
I </w> love </w> that </w> dress. </w>	J'adore </w> cette </w> robe. </w>
I </w> love </w> that </w> movie. </w>	J'adore </w> ce </w> film. </w>
I </w> love </w> that </w> place. </w>	J'adore </w> cet </w> endroit. </w>
I </w> love </w> that </w> scarf. </w>	J'adore </w> cette </w> échar pe. </w>
I </w> love </w> that </w> shirt. </w>	J'adore </w> cette </w> chemise. </w>
I </w> love </w> that </w> store. </w>	J'adore </w> ce </w> magasin. </w>
I </w> love </w> that </w> story. </w>	J'adore </w> cette </w> histoire. </w>
I </w> love </w> the </w> colors. </w>	J'aime </w> les </w> couleurs. </w>
I </w> love </w> this </w> group. </w>	J'aime </w> ce </w> groupe. </w>
I </w> love </w> this </w> photo. </w>	J'adore </w> cette </w> photo. </w>
I </w> love </w> this </w> place. </w>	J'adore </w> cet </w> endroit. </w>
I </w> love </w> this </w> store. </w>	J'adore </w> ce </w> magasin. </w>
I </w> love </w> this </w> store. </w>	Je </w> raffo le </w> de </w> ce </w> magasin. </w>
I </w> love </w> this </w> video. </w>	J'adore </w> cette </w> vidéo. </w>
I </w> love </w> you </w> anyway. </w>	Je </w> t'aime </w> quand </w> même. </w>
I </w> love </w> you </w> anyway. </w>	Je </w> vous </w> aime </w> quand </w> même. </w>
I </w> love </w> you </w> people. </w>	Je </w> vous </w> adore. </w>
I </w> love </w> your </w> dress. </w>	J'adore </w> votre </w> robe. </w>
I </w> love </w> your </w> dress. </w>	J'adore </w> ta </w> robe. </w>
I </w> love </w> your </w> house. </w>	J'adore </w> votre </w> maison. </w>
I </w> love </w> your </w> house. </w>	J'adore </w> ta </w> maison. </w>
I </w> love </w> your </w> place. </w>	J'adore </w> ton </w> appartement. </w>
I </w> love </w> your </w> place. </w>	J'adore </w> ton </w> ap part. </w>
I </w> love </w> your </w> place. </w>	J'adore </w> votre </w> appartement. </w>
I </w> loved </w> that </w> book. </w>	J'ai </w> adoré </w> ce </w> livre. </w>
I </w> loved </w> that </w> book. </w>	J'ai </w> adoré </w> cet </w> ouvrage. </w>
I </w> made </w> a </w> decision. </w>	J'ai </w> pris </w> une </w> décision. </w>
I </w> made </w> a </w> decision. </w>	Je </w> pris </w> une </w> décision. </w>
I </w> made </w> a </w> proposal. </w>	J'ai </w> fait </w> une </w> proposition. </w>
I </w> made </w> fun </w> of </w> him. </w>	Je </w> me </w> suis </w> moqué </w> de </w> lui. </w>
I </w> made </w> fun </w> of </w> him. </w>	Je </w> me </w> moqu ai </w> de </w> lui. </w>
I </w> made </w> it </w> on </w> time. </w>	Je </w> l'ai </w> fait </w> à </w> temps. </w>
I </w> made </w> it </w> on </w> time. </w>	J'y </w> suis </w> arrivé </w> à </w> temps. </w>
I </w> made </w> this </w> chair. </w>	J'ai </w> fait </w> cette </w> chaise. </w>
I </w> made </w> this </w> chair. </w>	J'ai </w> fabriqué </w> cette </w> chaise. </w>
I </w> made </w> you </w> coffee. </w>	Je </w> t'ai </w> fait </w> du </w> café. </w>
I </w> made </w> you </w> coffee. </w>	Je </w> vous </w> ai </w> fait </w> du </w> café. </w>
I </w> may </w> outlive </w> you. </w>	Il </w> se </w> peut </w> que </w> je </w> t' ent erre. </w>
I </w> may </w> outlive </w> you. </w>	Il </w> se </w> peut </w> que </w> je </w> vous </w> ent erre. </w>
I </w> mean </w> what </w> I </w> say. </w>	Je </w> pense </w> ce </w> que </w> je </w> dis. </w>
I </w> met </w> your </w> friend. </w>	J’ai </w> rencontré </w> ton </w> ami. </w>
I </w> miss </w> my </w> friends. </w>	Mes </w> amis </w> me </w> manquent. </w>
I </w> miss </w> my </w> friends. </w>	Mes </w> amies </w> me </w> manquent. </w>
I </w> miss </w> my </w> parents. </w>	Mes </w> parents </w> me </w> manquent. </w>
I </w> miss </w> that </w> place. </w>	Ce </w> lieu </w> me </w> manque. </w>
I </w> miss </w> this </w> place. </w>	Cet </w> endroit </w> me </w> manque. </w>
I </w> missed </w> my </w> train. </w>	J'ai </w> manqué </w> mon </w> train. </w>
I </w> missed </w> you </w> kids. </w>	C'est </w> vous </w> qui </w> m'avez </w> manqu és, </w> les </w> enfants. </w>
I </w> must </w> eat </w> slowly. </w>	Il </w> me </w> faut </w> manger </w> lentement. </w>
I </w> must </w> go </w> to </w> work. </w>	Je </w> dois </w> aller </w> au </w> travail. </w>
I </w> must </w> go </w> to </w> work. </w>	Je </w> dois </w> aller </w> travailler. </w>
I </w> need </w> 30 </w> minutes. </w>	J'ai </w> besoin </w> de </w> 30 </w> minutes. </w>
I </w> need </w> Tom's </w> help. </w>	J'ai </w> besoin </w> de </w> l'aide </w> de </w> Tom. </w>
I </w> need </w> a </w> breather. </w>	J'ai </w> besoin </w> d'une </w> pause. </w>
I </w> need </w> a </w> breather. </w>	J'ai </w> besoin </w> d'un </w> rép it. </w>
I </w> need </w> a </w> computer. </w>	Il </w> me </w> faut </w> un </w> ordinateur. </w>
I </w> need </w> a </w> key board. </w>	Il </w> me </w> faut </w> un </w> cla vier. </w>
I </w> need </w> a </w> long </w> nap. </w>	J'ai </w> besoin </w> d'une </w> longue </w> sieste. </w>
I </w> need </w> a </w> vacation ! </w>	J'ai </w> besoin </w> de </w> vacances </w> ! </w>
I </w> need </w> more </w> light. </w>	Il </w> me </w> faut </w> davantage </w> de </w> lumière. </w>
I </w> need </w> more </w> money. </w>	J'ai </w> besoin </w> de </w> davantage </w> d'argent. </w>
I </w> need </w> more </w> power. </w>	Il </w> me </w> faut </w> davantage </w> de </w> pouvoir. </w>
I </w> need </w> more </w> power. </w>	Il </w> me </w> faut </w> davantage </w> d'électricité. </w>
I </w> need </w> more </w> power. </w>	J'ai </w> besoin </w> de </w> plus </w> de </w> pouvoir. </w>
I </w> need </w> more </w> power. </w>	J'ai </w> besoin </w> de </w> plus </w> d'électricité. </w>
I </w> need </w> my </w> privacy. </w>	Il </w> me </w> faut </w> mon </w> in timité. </w>
I </w> need </w> my </w> privacy. </w>	J'ai </w> besoin </w> de </w> mon </w> in timité. </w>
I </w> need </w> protection. </w>	J'ai </w> besoin </w> de </w> protection. </w>
I </w> need </w> some </w> light. </w>	J'ai </w> besoin </w> de </w> lumière. </w>
I </w> need </w> some </w> paper. </w>	J'ai </w> besoin </w> de </w> papier. </w>
I </w> need </w> some </w> sleep. </w>	J'ai </w> besoin </w> de </w> sommeil. </w>
I </w> need </w> some </w> sugar. </w>	J'ai </w> besoin </w> de </w> sucre. </w>
I </w> need </w> some </w> water. </w>	Il </w> me </w> faut </w> de </w> l'eau. </w>
I </w> need </w> some </w> water. </w>	J'ai </w> besoin </w> d'eau. </w>
I </w> need </w> this </w> money. </w>	J'ai </w> besoin </w> de </w> cet </w> argent. </w>
I </w> need </w> to </w> do </w> this. </w>	Il </w> me </w> faut </w> le </w> faire. </w>
I </w> need </w> to </w> go </w> home. </w>	Je </w> dois </w> aller </w> chez </w> moi. </w>
I </w> need </w> to </w> go </w> home. </w>	Il </w> me </w> faut </w> aller </w> à </w> la </w> maison. </w>
I </w> need </w> to </w> hear </w> it. </w>	J'ai </w> besoin </w> de </w> l'entendre. </w>
I </w> need </w> to </w> hear </w> it. </w>	J'ai </w> besoin </w> d'entendre </w> ça. </w>
I </w> need </w> volunteers. </w>	J'ai </w> besoin </w> de </w> volontaires. </w>
I </w> need </w> volunteers. </w>	Il </w> me </w> faut </w> des </w> volontaires. </w>
I </w> needed </w> a </w> change. </w>	J'avais </w> besoin </w> de </w> changement. </w>
I </w> never </w> knew </w> that. </w>	Je </w> n'ai </w> jamais </w> su </w> ça. </w>
I </w> never </w> knew </w> that. </w>	Je </w> ne </w> le </w> sus </w> jamais. </w>
I </w> never </w> loved </w> you. </w>	Je </w> ne </w> t'ai </w> jamais </w> aimé. </w>
I </w> never </w> loved </w> you. </w>	Je </w> ne </w> t'ai </w> jamais </w> aimée. </w>
I </w> never </w> over sleep. </w>	Je </w> n'oublie </w> jamais </w> de </w> me </w> réveiller. </w>
I </w> never </w> said </w> that. </w>	Je </w> n'ai </w> jamais </w> dit </w> cela. </w>
I </w> never </w> went </w> back. </w>	Je </w> n'y </w> suis </w> jamais </w> retour né. </w>
I </w> never </w> went </w> back. </w>	Je </w> n'y </w> suis </w> jamais </w> retour née. </w>
I </w> often </w> drink </w> tea. </w>	Je </w> bois </w> souvent </w> du </w> thé. </w>
I </w> opened </w> the </w> door. </w>	J'ouvris </w> la </w> porte. </w>
I </w> opened </w> the </w> door. </w>	J'ai </w> ouvert </w> la </w> porte. </w>
I </w> ordered </w> a </w> pizza. </w>	J'ai </w> commandé </w> de </w> la </w> pizza. </w>
I </w> overslept </w> again. </w>	Je </w> ne </w> me </w> suis </w> pas </w> réveill é, </w> une </w> fois </w> de </w> plus. </w>
I </w> overslept </w> again. </w>	Je </w> ne </w> me </w> suis </w> pas </w> réveill ée, </w> une </w> fois </w> de </w> plus. </w>
I </w> owe </w> him </w> my </w> life. </w>	Je </w> lui </w> dois </w> la </w> vie. </w>
I </w> owe </w> him </w> nothing. </w>	Je </w> ne </w> lui </w> dois </w> rien. </w>
I </w> owe </w> you </w> a </w> favor. </w>	Je </w> vous </w> dois </w> une </w> faveur. </w>
I </w> owe </w> you </w> a </w> favor. </w>	Je </w> te </w> dois </w> une </w> faveur. </w>
I </w> owe </w> you </w> a </w> lunch. </w>	Je </w> vous </w> dois </w> un </w> déjeuner. </w>
I </w> owe </w> you </w> a </w> lunch. </w>	Je </w> te </w> dois </w> un </w> déjeuner. </w>
I </w> owe </w> you </w> my </w> life. </w>	Je </w> vous </w> dois </w> la </w> vie. </w>
I </w> owe </w> you </w> my </w> life. </w>	Je </w> te </w> dois </w> la </w> vie. </w>
I </w> owe </w> you </w> nothing. </w>	Je </w> ne </w> te </w> dois </w> rien. </w>
I </w> owe </w> you </w> nothing. </w>	Je </w> ne </w> vous </w> dois </w> rien. </w>
I </w> owe </w> you </w> so </w> much. </w>	Je </w> vous </w> dois </w> tant. </w>
I </w> owe </w> you </w> so </w> much. </w>	Je </w> te </w> dois </w> tant. </w>
I </w> paid </w> in </w> advance. </w>	J'ai </w> payé </w> d'avance. </w>
I </w> picked </w> the </w> lock. </w>	J'ai </w> croche té </w> la </w> serrure. </w>
I </w> plan </w> on </w> winning. </w>	Je </w> prévois </w> de </w> gagner. </w>
I </w> plan </w> on </w> winning. </w>	Je </w> prévois </w> de </w> l'emporter. </w>
I </w> play </w> the </w> violin. </w>	Je </w> joue </w> du </w> violon. </w>
I </w> played </w> football. </w>	J'ai </w> joué </w> au </w> football. </w>
I </w> ple ad </w> ignorance. </w>	Je </w> pl aide </w> l' ignorance. </w>
I </w> pulled </w> a </w> mus cle. </w>	Je </w> me </w> suis </w> fait </w> une </w> en tor se. </w>
I </w> punched </w> his </w> jaw. </w>	Je </w> l'ai </w> frappé </w> à </w> la </w> mâ choi re. </w>
I </w> ran </w> into </w> a </w> de er. </w>	J'ai </w> rencontré </w> un </w> cer f. </w>
I </w> ran </w> into </w> a </w> tree. </w>	J'ai </w> emb ou ti </w> un </w> arbre. </w>
I </w> ran </w> into </w> a </w> tree. </w>	Je </w> me </w> suis </w> tapé </w> un </w> arbre. </w>
I </w> rarely </w> eat </w> meat. </w>	Je </w> mange </w> rarement </w> de </w> la </w> viande. </w>
I </w> read </w> some </w> books. </w>	J'ai </w> lu </w> des </w> livres. </w>
I </w> really </w> am </w> sorry. </w>	Je </w> suis </w> vraiment </w> désolé. </w>
I </w> really </w> am </w> sorry. </w>	Je </w> suis </w> vraiment </w> désolée. </w>
I </w> really </w> did </w> that. </w>	J'ai </w> vraiment </w> fait </w> ça. </w>
I </w> really </w> doubt </w> it. </w>	J'en </w> doute </w> vraiment. </w>
I </w> really </w> hope </w> not. </w>	J'espère </w> vraiment </w> que </w> non. </w>
I </w> really </w> like </w> him! </w>	Je </w> l'apprécie </w> beaucoup ! </w>
I </w> really </w> like </w> him. </w>	Je </w> l'apprécie </w> vraiment. </w>
I </w> really </w> like </w> you. </w>	Je </w> t'aime </w> vraiment. </w>
I </w> really </w> like </w> you. </w>	Je </w> t'aime </w> vraiment </w> bien. </w>
I </w> really </w> like </w> you. </w>	Tu </w> me </w> plais </w> vraiment. </w>
I </w> really </w> love </w> you. </w>	Je </w> vous </w> aime </w> vraiment. </w>
I </w> really </w> love </w> you. </w>	Je </w> t'aime </w> vraiment. </w>
I </w> really </w> miss </w> Tom. </w>	Tom </w> me </w> manque </w> vraiment. </w>
I </w> really </w> miss </w> you. </w>	Vous </w> me </w> manquez </w> vraiment. </w>
I </w> really </w> miss </w> you. </w>	Tu </w> me </w> manques </w> vraiment. </w>
I </w> really </w> need </w> you. </w>	J'ai </w> vraiment </w> besoin </w> de </w> toi. </w>
I </w> really </w> need </w> you. </w>	J'ai </w> vraiment </w> besoin </w> de </w> vous. </w>
I </w> remember </w> it </w> now. </w>	Je </w> m'en </w> souviens , </w> maintenant. </w>
I </w> remember </w> it </w> now. </w>	Je </w> me </w> le </w> rappelle , </w> maintenant. </w>
I </w> rescued </w> the </w> cat. </w>	J'ai </w> sauvé </w> le </w> chat. </w>
I </w> retired </w> in </w> 2013. </w>	J'ai </w> pris </w> ma </w> retraite </w> en </w> 2013. </w>
I </w> retired </w> in </w> 2013. </w>	Je </w> suis </w> parti </w> à </w> la </w> retraite </w> en </w> 2013. </w>
I </w> ripped </w> my </w> pants. </w>	J'ai </w> déchiré </w> mon </w> pantalon. </w>
I </w> said </w> I </w> liked </w> it. </w>	Je </w> dis </w> que </w> je </w> l'appréci ais. </w>
I </w> said </w> I </w> liked </w> it. </w>	Je </w> dis </w> que </w> je </w> l'aimais. </w>
I </w> said </w> I </w> liked </w> it. </w>	J'ai </w> dit </w> que </w> je </w> l'appréci ais. </w>
I </w> said </w> I </w> liked </w> it. </w>	J'ai </w> dit </w> que </w> je </w> l'aimais. </w>
I </w> said </w> I </w> was </w> busy. </w>	J'ai </w> dit </w> que </w> j'étais </w> occupé. </w>
I </w> said </w> I </w> was </w> busy. </w>	J'ai </w> dit </w> que </w> j'étais </w> occupée. </w>
I </w> said </w> it </w> in </w> j est. </w>	Je </w> l'ai </w> dit </w> pour </w> rire. </w>
I </w> said </w> it </w> in </w> j est. </w>	Je </w> l'ai </w> dit </w> en </w> plaisant ant. </w>
I </w> sat </w> by </w> his </w> side. </w>	Je </w> me </w> suis </w> assis </w> à </w> côté </w> de </w> lui. </w>
I </w> sat </w> next </w> to </w> Tom. </w>	Je </w> m'assis </w> à </w> côté </w> de </w> Tom. </w>
I </w> sat </w> on </w> the </w> sofa. </w>	Je </w> me </w> suis </w> assis </w> sur </w> le </w> canapé. </w>
I </w> saved </w> your </w> life. </w>	Je </w> t'ai </w> sauvé </w> la </w> vie. </w>
I </w> saved </w> your </w> life. </w>	Je </w> vous </w> ai </w> sauvé </w> la </w> vie. </w>
I </w> saw </w> Tom </w> earlier. </w>	J'ai </w> vu </w> Tom </w> plus </w> tôt. </w>
I </w> saw </w> Tom </w> tonight. </w>	J'ai </w> vu </w> Tom </w> ce </w> soir. </w>
